Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F,Gender_M
3,3,176.0,4,10,1177.0,0,1,0,0,0,1,0,0,0,0,1,0,1
3,1,162.0,3,12,1417.0,0,0,0,0,1,1,0,0,0,0,1,1,0
3,4,250.0,3,3,2371.0,0,0,0,1,0,1,0,0,0,1,0,1,0
3,4,150.0,3,11,1861.0,1,0,0,0,0,1,0,0,0,1,0,1,0
3,4,189.0,2,12,2888.0,0,0,1,0,0,1,0,0,0,0,1,0,1
3,5,198.0,3,1,3667.0,0,0,0,1,0,1,0,0,0,0,1,1,0
3,4,143.0,2,6,1194.0,0,0,1,0,0,1,0,0,0,0,1,1,0
5,5,239.0,3,18,2495.0,0,0,0,1,0,0,0,1,1,0,0,0,1
2,5,156.0,2,2,1750.0,0,0,1,0,0,0,0,1,0,1,0,0,1
4,3,211.0,3,12,3922.0,0,0,0,0,1,0,0,1,1,0,0,0,1
4,2,234.0,3,4,3261.0,0,1,0,0,0,0,0,1,0,1,0,0,1
2,4,181.0,6,16,3605.0,0,0,0,0,1,0,0,1,0,0,1,1,0
5,1,227.0,2,15,3798.0,0,0,1,0,0,0,0,1,0,1,0,0,1
5,1,210.0,3,9,2944.0,0,1,0,0,0,0,0,1,0,1,0,1,0
5,4,190.0,2,9,3753.0,0,0,0,1,0,0,0,1,0,0,1,0,1
4,3,203.0,3,12,3539.0,0,0,0,1,0,0,0,1,1,0,0,0,1
4,1,150.0,3,17,4157.5,0,0,0,0,1,0,0,1,1,0,0,1,0
3,2,109.0,3,15,1710.0,0,0,0,1,0,0,0,1,0,0,1,1,0
3,3,158.0,3,6,1878.0,0,0,0,0,1,0,0,1,0,1,0,1,0
4,2,231.0,4,6,2512.0,1,0,0,0,0,0,0,1,0,0,1,1,0
5,1,187.0,4,14,3849.0,0,0,1,0,0,0,0,1,1,0,0,0,1
5,5,230.0,2,2,2229.0,0,0,0,0,1,0,0,1,0,1,0,1,0
6,1,238.0,6,13,2442.0,1,0,0,0,0,0,0,1,0,1,0,1,0
3,4,223.0,3,18,4157.5,0,0,0,1,0,0,0,1,0,1,0,0,1
2,5,132.0,3,18,1759.0,0,1,0,0,0,0,0,1,0,1,0,0,1
3,4,214.0,3,13,2148.0,0,0,0,0,1,0,0,1,0,0,1,0,1
6,2,214.0,3,3,2974.0,0,1,0,0,0,0,0,1,0,0,1,1,0
5,5,286.0,3,18,4157.5,0,0,0,0,1,0,0,1,0,1,0,1,0
4,4,175.0,2,7,1188.0,1,0,0,0,0,0,0,1,0,1,0,1,0
3,3,219.0,3,17,3387.0,0,1,0,0,0,0,0,1,0,1,0,1,0
3,3,149.0,2,18,1225.0,0,0,0,1,0,0,0,1,0,1,0,0,1
4,1,271.0,2,8,2401.0,0,0,0,0,1,0,0,1,0,0,1,1,0
3,5,144.0,4,5,4157.5,1,0,0,0,0,0,0,1,0,0,1,0,1
3,3,218.0,3,3,2255.0,1,0,0,0,0,0,0,1,0,1,0,0,1
3,1,238.0,3,17,2624.0,0,0,1,0,0,0,0,1,0,1,0,0,1
3,1,158.0,2,2,4157.5,1,0,0,0,0,0,1,0,0,1,0,0,1
2,5,263.0,3,5,2947.0,0,0,1,0,0,0,1,0,0,1,0,1,0
3,3,205.0,3,19,2167.0,0,0,0,0,1,0,1,0,0,0,1,1,0
5,5,222.0,3,10,2280.0,0,0,1,0,0,0,1,0,0,1,0,0,1
4,4,200.0,4,16,2060.0,1,0,0,0,0,0,1,0,0,0,1,0,1
3,5,179.0,2,17,1364.0,0,0,1,0,0,0,1,0,0,1,0,1,0
5,2,247.0,3,17,3889.0,0,0,0,1,0,1,0,0,0,1,0,0,1
3,3,168.0,2,1,1829.0,1,0,0,0,0,1,0,0,0,0,1,1,0
3,5,157.0,3,4,1889.0,0,1,0,0,0,1,0,0,0,1,0,1,0
3,5,162.0,2,7,1739.0,0,0,0,0,1,1,0,0,0,1,0,0,1
5,1,237.0,2,10,3860.0,0,0,0,0,1,1,0,0,0,1,0,1,0
4,4,220.0,2,7,2551.0,0,0,0,1,0,1,0,0,0,0,1,1,0
3,3,162.0,3,8,1869.0,0,0,1,0,0,0,0,1,0,0,1,1,0
5,2,274.0,3,6,3375.0,0,0,0,0,1,0,0,1,0,0,1,0,1
3,3,166.0,4,17,1498.0,0,1,0,0,0,0,0,1,0,0,1,1,0
4,3,185.0,3,10,2263.0,1,0,0,0,0,0,0,1,0,0,1,1,0
4,4,150.0,2,3,1285.0,0,0,0,0,1,0,0,1,0,0,1,0,1
3,3,192.0,3,2,3995.0,0,0,1,0,0,0,0,1,0,0,1,1,0
5,5,255.0,4,3,3440.0,0,0,0,0,1,0,0,1,0,0,1,0,1
4,1,161.0,7,18,1294.0,0,0,0,1,0,0,0,1,0,0,1,1,0
3,5,162.0,7,16,1052.0,0,1,0,0,0,0,0,1,0,0,1,1,0
2,1,222.0,2,5,4157.5,0,0,0,0,1,0,0,1,0,1,0,0,1
2,5,130.0,3,16,1092.0,0,0,1,0,0,0,0,1,0,1,0,0,1
2,4,140.0,3,7,1411.0,0,0,0,1,0,0,0,1,0,1,0,1,0
2,2,135.0,3,15,1339.0,0,0,1,0,0,0,0,1,0,1,0,0,1
2,3,136.0,3,19,1568.0,0,0,0,0,1,0,0,1,0,1,0,1,0
2,3,139.0,3,9,1471.0,1,0,0,0,0,0,0,1,0,1,0,0,1
2,2,157.0,3,1,1477.0,1,0,0,0,0,0,0,1,0,1,0,0,1
2,5,148.0,3,11,1502.0,0,0,0,0,1,0,0,1,1,0,0,1,0
2,1,127.0,3,15,4157.5,0,0,0,1,0,0,0,1,0,1,0,1,0
4,3,185.0,3,3,3131.0,0,0,0,1,0,0,0,1,0,0,1,0,1
4,2,192.0,3,4,2061.0,0,0,0,1,0,0,0,1,1,0,0,0,1
4,5,116.0,3,9,1314.0,0,0,0,0,1,0,0,1,0,0,1,1,0
3,2,164.0,10,14,1375.0,0,0,0,1,0,0,0,1,1,0,0,0,1
2,2,214.0,3,5,1268.0,0,1,0,0,0,0,0,1,0,1,0,0,1
2,3,214.0,3,10,1515.0,0,0,0,0,1,0,0,1,0,1,0,0,1
2,1,142.0,3,8,6064.0,0,0,1,0,0,0,0,1,0,0,1,1,0
2,3,139.0,3,3,1788.0,0,0,0,1,0,0,0,1,0,1,0,1,0
2,2,145.0,3,5,6102.0,0,0,0,0,1,0,1,0,0,0,1,1,0
2,5,160.0,3,19,1399.0,0,0,0,0,1,0,1,0,0,1,0,1,0
2,2,127.0,3,13,1128.0,0,0,1,0,0,0,1,0,0,1,0,0,1
2,3,158.0,3,13,1245.0,0,0,0,1,0,0,1,0,0,1,0,1,0
2,4,147.0,3,5,1920.0,0,0,0,0,1,0,1,0,0,1,0,0,1
5,3,271.0,5,9,1813.0,0,0,0,1,0,0,1,0,0,1,0,0,1
2,3,264.0,4,10,1648.0,1,0,0,0,0,0,1,0,0,1,0,1,0
3,2,209.0,5,12,3054.0,0,0,0,1,0,1,0,0,0,0,1,1,0
2,4,181.0,4,13,2309.0,0,1,0,0,0,1,0,0,0,0,1,0,1
4,4,214.0,3,12,3279.0,1,0,0,0,0,1,0,0,0,1,0,0,1
4,2,183.0,3,12,3646.0,1,0,0,0,0,0,0,1,0,0,1,1,0
3,2,183.0,4,12,2777.0,0,0,1,0,0,0,0,1,0,0,1,1,0
3,3,163.0,3,9,1257.0,0,0,0,0,1,0,0,1,0,0,1,0,1
4,2,165.0,2,11,1596.0,1,0,0,0,0,0,0,1,1,0,0,0,1
4,2,238.0,2,17,3358.0,0,0,1,0,0,0,0,1,1,0,0,0,1
3,4,224.0,2,15,2701.0,1,0,0,0,0,0,0,1,0,0,1,1,0
4,5,141.0,3,12,1672.0,0,1,0,0,0,0,0,1,0,0,1,0,1
3,4,211.0,3,8,3710.0,0,1,0,0,0,0,0,1,0,0,1,0,1
4,4,214.0,2,1,3147.0,0,0,0,0,1,0,0,1,0,1,0,1,0
3,5,214.0,3,15,2989.0,1,0,0,0,0,0,0,1,0,0,1,0,1
5,3,197.0,4,2,2222.0,1,0,0,0,0,0,0,1,0,1,0,1,0
5,1,264.0,3,6,2882.0,0,1,0,0,0,0,0,1,0,1,0,0,1
4,5,188.0,3,13,2409.0,1,0,0,0,0,0,0,1,0,1,0,1,0
2,2,267.0,3,15,2481.0,0,0,1,0,0,0,0,1,0,0,1,0,1
4,3,131.0,5,6,1659.0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,2,159.0,3,4,1681.0,0,0,0,0,1,0,0,1,0,0,1,1,0
3,4,122.0,3,15,1354.0,0,0,0,1,0,0,0,1,1,0,0,1,0
3,3,135.0,3,8,1074.0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,5,103.0,3,3,1403.0,1,0,0,0,0,0,0,1,0,1,0,0,1
3,5,257.0,3,19,2173.0,0,1,0,0,0,0,0,1,0,0,1,1,0
4,3,169.0,2,2,1399.0,0,0,1,0,0,0,0,1,0,1,0,0,1
4,5,159.0,3,18,1808.0,0,0,0,0,1,0,0,1,0,0,1,0,1
5,1,136.0,3,19,1420.0,0,0,0,0,1,0,0,1,0,0,1,0,1
5,1,227.0,3,19,3007.0,1,0,0,0,0,0,0,1,0,1,0,1,0
3,2,201.0,3,5,2040.0,0,0,0,0,1,0,0,1,0,0,1,0,1
5,2,214.0,3,7,1855.0,0,1,0,0,0,0,1,0,0,1,0,1,0
4,4,178.0,4,13,1614.0,1,0,0,0,0,0,1,0,0,0,1,1,0
3,4,205.0,3,10,2728.0,0,0,0,1,0,0,1,0,0,1,0,1,0
3,2,217.0,2,19,2992.0,0,0,0,0,1,0,1,0,1,0,0,0,1
2,5,166.0,3,3,1832.0,0,0,0,0,1,1,0,0,0,0,1,0,1
3,2,264.0,3,5,3861.0,1,0,0,0,0,1,0,0,0,0,1,0,1
3,4,200.0,2,14,3528.0,0,1,0,0,0,1,0,0,0,0,1,0,1
4,3,142.0,4,12,1396.0,0,0,1,0,0,1,0,0,0,0,1,0,1
2,1,218.0,2,15,2745.0,0,0,0,1,0,1,0,0,0,1,0,0,1
3,2,214.0,3,7,1933.0,1,0,0,0,0,1,0,0,0,1,0,0,1
2,2,140.0,3,19,1806.0,1,0,0,0,0,0,0,1,0,1,0,1,0
5,2,186.0,3,15,2153.0,0,0,0,0,1,0,0,1,0,0,1,1,0
3,3,135.0,3,19,1366.0,0,0,0,1,0,0,0,1,0,1,0,1,0
4,4,189.0,2,18,2955.0,0,0,0,0,1,0,0,1,0,0,1,1,0
3,4,194.0,3,3,2169.0,0,1,0,0,0,0,0,1,0,0,1,0,1
3,1,183.0,3,19,3018.0,0,0,1,0,0,0,0,1,0,1,0,0,1
3,3,254.0,2,17,3153.0,0,0,0,1,0,0,0,1,1,0,0,0,1
3,4,145.0,8,15,1429.0,0,0,0,0,1,0,0,1,0,1,0,1,0
4,1,202.0,3,18,3940.0,0,0,1,0,0,0,0,1,0,0,1,1,0
3,4,244.0,8,1,2703.0,0,0,0,1,0,0,0,1,0,1,0,0,1
3,2,214.0,4,15,1318.0,0,1,0,0,0,0,0,1,0,1,0,1,0
3,5,226.0,2,2,1043.0,0,0,1,0,0,0,0,1,0,0,1,1,0
4,4,173.0,5,2,1175.0,0,0,0,0,1,0,0,1,0,0,1,1,0
3,5,194.0,3,10,2277.0,0,0,0,1,0,0,0,1,0,0,1,1,0
3,5,183.0,3,2,3459.0,0,0,0,0,1,0,0,1,0,1,0,1,0
4,3,244.0,3,8,3318.0,0,1,0,0,0,0,0,1,0,0,1,0,1
2,2,189.0,4,9,3413.0,0,0,1,0,0,0,0,1,0,1,0,0,1
4,3,275.0,10,10,2093.0,0,0,0,1,0,0,0,1,0,0,1,0,1
5,4,168.0,3,13,1317.0,0,0,0,1,0,0,0,1,0,1,0,1,0
5,5,263.0,8,9,4157.5,0,0,0,0,1,0,0,1,0,0,1,1,0
3,3,235.0,3,5,3065.0,0,1,0,0,0,0,0,1,0,1,0,0,1
2,1,176.0,3,15,1996.0,0,0,1,0,0,0,0,1,0,1,0,1,0
5,1,160.0,5,16,1526.0,1,0,0,0,0,0,0,1,0,0,1,1,0
4,2,216.0,3,12,2273.0,0,0,1,0,0,0,0,1,0,1,0,1,0
4,4,199.0,2,9,3075.0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,2,177.0,3,10,1641.0,0,1,0,0,0,0,0,1,0,1,0,0,1
5,3,214.0,2,14,1045.0,0,0,0,1,0,0,0,1,0,1,0,1,0
