,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4,0.6642807960510254,0.007306310608980274,0.2149583339691162,0.0023720274887941532,0.1,rbf,0.1,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11
5,0.67034010887146,0.007667548750463544,0.2117680549621582,0.0013833505579463785,0.1,rbf,0.001,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11
6,0.5917688369750976,0.012397281213227564,0.21845197677612305,0.014670451249182204,0.1,rbf,0.0001,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11
8,0.7004054546356201,0.030311864044080324,0.23399591445922852,0.021404084706954863,1.0,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11
9,0.7198093414306641,0.034322933289412424,0.2581000804901123,0.028091414321506664,1.0,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11
12,0.6872790813446045,0.02333928806733545,0.23212428092956544,0.024135481292818634,10.0,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11
11,0.6889173030853272,0.027589316225279728,0.21937785148620606,0.004931093163664855,10.0,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.5,0.5019230769230769,0.5076923076923077,0.5038461538461538,0.5019230769230769,0.5030769230769231,0.0026085884550481704,9
15,0.6711714744567872,0.016539165629072934,0.22721433639526367,0.02785313372339559,100.0,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.5,0.5019230769230769,0.5076923076923077,0.5038461538461538,0.5019230769230769,0.5030769230769231,0.0026085884550481704,9
0,0.39328875541687014,0.011997127849652631,0.06220774650573731,0.0019397786842736112,0.1,linear,,"{'C': 0.1, 'kernel': 'linear'}",0.7341392075962245,0.7333993212669684,0.7399886877828055,0.7195701357466063,0.7569287330316742,0.7368052170848559,0.012090046661600674,8
14,0.5422080039978028,0.007049238291254882,0.18082947731018068,0.0014744701009738665,100.0,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.7607810998700051,0.7593891402714932,0.7519796380090498,0.7405260180995474,0.7854920814479638,0.7596335955396117,0.014789999320801368,7
7,0.5942969799041748,0.01709692720035645,0.2040623188018799,0.007828431558617158,1.0,rbf,0.1,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7645410614367263,0.7626979638009049,0.7565610859728507,0.7519796380090498,0.779722850678733,0.763100519979653,0.009433740530347278,6
1,0.33654470443725587,0.005394176674555356,0.050959300994873044,0.004188669701288309,1.0,linear,,"{'C': 1, 'kernel': 'linear'}",0.781286384445826,0.7872171945701357,0.7766968325791854,0.7549773755656108,0.8037047511312216,0.7807765076583959,0.015809400598855706,5
2,0.5543834686279296,0.02285782501752455,0.048379135131835935,0.0023044608381671437,10.0,linear,,"{'C': 10, 'kernel': 'linear'}",0.7940993613293392,0.7845588235294118,0.7867647058823529,0.7523190045248869,0.8087386877828054,0.7852961166097592,0.018532358391701205,4
3,1.7233335971832275,0.06928601966411707,0.04793019294738769,0.0021783476657508917,100.0,linear,,"{'C': 100, 'kernel': 'linear'}",0.7944667382580681,0.7845588235294118,0.7871323529411764,0.7596436651583711,0.8125848416289593,0.7876772843031973,0.01710198027764942,3
10,0.5121631622314453,0.02308118817256002,0.16545958518981935,0.011684676962435426,10.0,rbf,0.1,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8013380998134856,0.8094739819004525,0.8230203619909502,0.7868495475113122,0.8349264705882353,0.8111216923608872,0.016708180355217376,2
13,0.6866702556610107,0.009499688606801966,0.13950157165527344,0.003754625563866762,100.0,rbf,0.1,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8142372689764313,0.8330882352941176,0.8470871040723982,0.8097285067873303,0.8480203619909502,0.8304322954242455,0.016029363673092274,1
